"objetID,C,254","dateRefere,D","route,C,100","pr,C,10","depPr,C,10","concession,C,1","abs,N,24,15","cumul,N,24,15","x,N,24,15","y,N,24,15","z,N,24,15","cote,C,1","voie,N,10,0","accrochage,C,20","longueurd,N,10,0","longueurg,N,10,0","sectionnem,C,3","sectionn_1,C,15"
47717,02/01/2026,25N905711,8,25,N,0,1602,"925244,82","6684912,05",0,D,0,ACCROCHE,170,0,25,DIRE
24743,02/01/2026,25N905712,1,25,N,0,0,"925657,76",6684120,0,D,0,ACCROCHE,235,0,25,DIRE
37862,02/01/2026,25N905712,2,25,N,0,235,"925510,14","6684375,55",0,D,0,ACCROCHE,140,0,25,DIRE
63960,02/01/2026,25N905712,3,25,N,0,375,"925411,24","6684468,73",0,D,0,ACCROCHE,122,0,25,DIRE
74020,02/01/2026,25N905712,4,25,N,0,497,"925498,49","6684298,41",0,D,0,ACCROCHE,200,0,25,DIRE
19890,02/01/2026,25N905714,1,25,N,0,0,"926940,61","6683243,88",0,D,0,ACCROCHE,170,0,25,DIRE
50211,02/01/2026,25N905715,1,25,N,0,0,"932705,46","6684985,84",0,D,0,ACCROCHE,330,0,25,DIRE
27852,02/01/2026,25N905715,2,25,N,0,330,"932814,78","6684834,92",0,D,0,ACCROCHE,267,0,25,DIRE
33100,02/01/2026,25N905715,3,25,N,0,597,"932740,02","6684755,72",0,D,0,ACCROCHE,70,0,25,DIRE
18798,02/01/2026,25N905715,4,25,N,0,667,"932622,93","6684754,42",0,D,0,ACCROCHE,308,0,25,DIRE
56685,02/01/2026,25N905715,5,25,N,0,975,"932835,62","6684788,94",0,D,0,ACCROCHE,237,0,25,DIRE
39757,02/01/2026,25N905715,6,25,N,0,1212,"932750,81","6684950,73",0,D,0,ACCROCHE,250,0,25,DIRE
33511,02/01/2026,25N905715,7,25,N,0,1462,"932877,58","6685028,98",0,D,0,ACCROCHE,230,0,25,DIRE
34993,02/01/2026,25N905715,8,25,N,0,1692,"932619,03","6685030,84",0,D,0,ACCROCHE,154,0,25,DIRE
27380,02/01/2026,25N905715,9,25,N,0,1846,"932750,81","6684950,73",0,D,0,ACCROCHE,154,0,25,DIRE
63829,02/01/2026,25N905716,1,25,N,0,0,"934183,9","6683697,43",0,D,0,ACCROCHE,366,0,25,DIRE
58320,02/01/2026,25N905716,2,25,N,0,366,"934427,58","6683575,7",0,D,0,ACCROCHE,320,0,25,DIRE
66733,02/01/2026,25N905717,1,25,N,0,0,"934492,8","6683223,6",0,D,0,ACCROCHE,130,0,25,DIRE
10121,02/01/2026,25N905717,2,25,N,0,130,"934834,02","6682930,48",0,D,0,ACCROCHE,245,0,25,DIRE
